No,prompt,group,name_or_number,contract_arr,group_hash,status,is_chargeable,joined_at_from,joined_at_to,retired_at_from,retired_at_to
44,派遣社員またはパート、業務委託 の社員はいますか？,,,派遣社員,,,,,,,
45,役員として働いている従業員を表示してください。,,,役員,,,,,,,
46,EID2048の社員番号を持ち、パートとして働いている従業員。,,EID2048,パート,,,,,,,
47,ID1001の社員番号を持ち、使用人兼務役員として働いている従業員。,,ID1001,使用人兼務役員,,,,,,,
48,田中一郎という名前の派遣社員社員を探しています。,,田中一郎,派遣社員,,,,,,,
49,ID8888の社員番号を持ち、嘱託社員として働いている従業員。,,ID8888,嘱託社員,,,,,,,
50,吉田優子という社員で、業務委託 または正社員の契約形態の方を教えてください。,,吉田優子,業務委託,,,,,,,
51,契約社員の契約形態で働いている従業員を教えてください。,,,契約社員,,,,,,,
52,役員の契約形態で働く従業員を表示してください。,,,役員,,,,,,,
53,使用人兼務役員の契約形態で働く従業員を表示してください。,,,使用人兼務役員,,,,,,,
54,正社員の契約形態で働く従業員を表示してください。,,,正社員,,,,,,,
55,契約社員の契約形態で働く従業員を表示してください。,,,契約社員,,,,,,,
56,嘱託社員という契約形態の従業員を検索したい。,,,嘱託社員,,,,,,,
57,社員の中でパートとして働く人を教えてください。,,,パート,,,,,,,
58,アルバイトという職種の社員はいますか？,,,アルバイト,,,,,,,
59,派遣社員の契約社員について知りたいです。,,,派遣社員,,,,,,,
60,現在その他として在籍中の従業員はいますか？,,,その他,,在籍中,,,,,
61,契約タイプが業務委託 のスタッフを調べています。,,,業務委託,,,,,,,
62,ID8888またはID1001の社員番号を持ち、アルバイトの契約形態の社員。,,ID8888 ID1001,アルバイト,,,,,,,
63,山田花子という名前で、嘱託社員の契約形態を持つ従業員。,,山田花子,嘱託社員,,,,,,,
64,アルバイトまたは正社員の契約形態を持つ社員を表示してください。,,,アルバイト,,,,,,,
65,XYZ789またはABC123の社員番号を持ち、派遣社員の契約形態の社員。,,XYZ789 ABC123,派遣社員,,,,,,,
66,氏名が加藤理沙、IDがXYZ789、契約形態が契約社員、アルバイトの従業員を探しています。,,加藤理沙 XYZ789,契約社員,,,,,,
67,ID8888の社員番号で、パートとして働いている人を教えてください。,,ID8888,パート,,,,,,,
68,加藤理沙という名前で、使用人兼務役員の契約形態の社員を探しています。,,加藤理沙,使用人兼務役員,,,,,,,
69,田中一郎と吉田優子という名前の社員で、アルバイトの契約タイプを持つ方。,,田中一郎 吉田優子,アルバイト,,,,,,,
70,業務委託 または嘱託社員の契約形態を持ち、IDがXYZ789の従業員を探しています。,,XYZ789,業務委託,,,,,,,
71,正社員または契約社員の契約形態を持つ社員を表示してください。,,,正社員,,,,,,,
72,営業本部のメンバー一覧を表示してください。,"[""従業員500名環境"", ""Group A"", ""営業本部"", ""総務部"", ""Gao Blue""]",,,営業本部,,,,,,
73,技術開発チームに現在在籍中の社員を確認したいです。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""総務部"", ""技術開発チーム""]",,,技術開発チーム,在籍中,,,,,
74,人事グループの従業員を検索してください。,"[""従業員500名環境"", ""人事グループ"", ""Group B"", ""総務部"", ""Gao Blue""]",,,人事グループ,,,,,,
75,経理課に在籍しているスタッフを教えてください。,"[""経理課"", ""Group A"", ""Group B"", ""総務部"", ""Gao Blue""]",,,経理課,在籍中,,,,,
76,製造部門の社員情報を表示してください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""製造部門"", ""Gao Blue""]",,,製造部門,,,,,,
77,マーケティンググループの従業員一覧を出してください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""総務部"", ""マーケティンググループ""]",,,マーケティンググループ,,,,,,
78,法務部に所属する従業員が知りたいです。,"[""従業員500名環境"", ""Group A"", ""法務部"", ""総務部"", ""Gao Blue""]",,,法務部,,,,,,
79,商品企画チームにいるスタッフを検索したいです。,"[""商品企画チーム"", ""Group A"", ""Group B"", ""総務部"", ""Gao Blue""]",,,商品企画チーム,,,,,,
80,物流チームに現在登録されている社員を教えてください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""物流チーム"", ""Gao Blue""]",,,物流チーム,在籍中,,,,,
81,顧客対応部の在籍者は誰ですか？,"[""従業員500名環境"", ""Group A"", ""Group B"", ""顧客対応部"", ""Gao Blue""]",,,顧客対応部,在籍中,,,,,
82,品質管理課の社員をリストアップしてください,"[""従業員500名環境"", ""品質管理課"", ""Group B"", ""総務部"", ""Gao Blue""]",,,品質管理課,,,,,,
83,研究開発部にいるメンバーを確認してください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""総務部"", ""研究開発部""]",,,研究開発部,,,,,,
84,営業推進部の全従業員を表示してください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""営業推進部"", ""Gao Blue""]",,,営業推進部,,,,,,
85,サポートチームのスタッフ情報を確認したいです。,"[""従業員500名環境"", ""Group A"", ""サポートチーム"", ""総務部"", ""Gao Blue""]",,,サポートチーム,,,,,,
86,教育研修部に属する社員を教えてください。,"[""教育研修部"", ""Group A"", ""Group B"", ""総務部"", ""Gao Blue""]",,,教育研修部,,,,,,
87,サポートチームのスタッフ情報を確認したいです。,"[""従業員500名環境"", ""Group A"", ""サポートチーム"", ""総務部"", ""Gao Blue""]",,,サポートチーム,,,,,,
88,海外事業部の従業員一覧を見せてください。,"[""従業員500名環境"", ""海外事業部"", ""Group B"", ""総務部"", ""Gao Blue""]",,,海外事業部,,,,,,
89,情報システム課に登録されている社員を表示してください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""総務部"", ""情報システム課""]",,,情報システム課,,,,,,
90,経営戦略室に所属している全社員を教えてください。,"[""経営戦略室"", ""Group A"", ""Group B"", ""総務部"", ""Gao Blue""]",,,経営戦略室,,,,,,
91,総務部に所属している正社員を探しています。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""総務部"", ""Gao Blue""]",,正社員,総務部,,,,,,
92,技術開発チームの中にアルバイトとして働いている人はいますか？,"[""従業員500名環境"", ""技術開発チーム"", ""Group B"", ""総務部"", ""Gao Blue""]",,アルバイト,技術開発チーム,,,,,,
93,営業本部にいる契約社員の山田さんを確認したいです。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""営業本部"", ""Gao Blue""]",山田,契約社員,営業本部,,,,,,
94,経理課の役員の情報を教えてください。,"[""経理課"", ""Group A"", ""Group B"", ""総務部"", ""Gao Blue""]",,役員,経理課,,,,,,
95,マーケティンググループに在籍している業務委託の従業員は誰ですか？,"[""従業員500名環境"", ""Group A"", ""Group B"", ""マーケティンググループ"", ""Gao Blue""]",,業務委託,マーケティンググループ,在籍中,,,,,
96,品質管理課でその他として働く佐藤さんはまだ在籍していますか？,"[""品質管理課"", ""Group A"", ""Group B"", ""総務部"", ""Gao Blue""]",佐藤,その他,品質管理課,在籍中,,,,,
97,商品企画チームに在籍しているパートの従業員一覧をください。,"[""従業員500名環境"", ""商品企画チーム"", ""Group B"", ""総務部"", ""Gao Blue""]",,パート,商品企画チーム,在籍中,,,,,
98,教育研修部のパート従業員を抽出してください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""総務部"", ""教育研修部""]",,パート,教育研修部,,,,,,
99,情報システム課の中で使用人兼務役員として登録された従業員を教えてください,"[""従業員500名環境"", ""Group A"", ""情報システム課"", ""総務部"", ""Gao Blue""]",,使用人兼務役員,情報システム課,,,,,,
100,経営戦略室に在籍する業務委託の田辺さんについて調べてください。,"[""従業員500名環境"", ""経営戦略室"", ""Group B"", ""総務部"", ""Gao Blue""]",田辺,業務委託,経営戦略室,在籍中,,,,,
101,現在在籍中の従業員は誰ですか？,,,,,在籍中,,,,,
102,入社予定の従業員はいますか？,,,,,入社予定,,,,,
103,退職予定の従業員は誰ですか？,,,,,退職予定,,,,,
104,退職済の従業員を一覧で出してください。,,,,,退職済,,,,,
105,在籍中の正社員を確認したいです。,,,正社員,,在籍中,,,,,
106,営業部の在籍中のスタッフを教えてください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""営業部"", ""Gao Blue""]",,,営業部,在籍中,,,,,
107,田中という在籍中の従業員はいますか？,,田中,,,在籍中,,,,,
108,技術開発部で在籍中のアルバイトを探しています。,"[""従業員500名環境"", ""技術開発部"", ""Group B"", ""営業部"", ""Gao Blue""]",,アルバイト,技術開発部,在籍中,,,,,
109,鈴木さんは現在在籍中の契約社員ですか？,,鈴木,契約社員,,在籍中,,,,,
110,業務委託として今後入社予定の従業員を教えてください。,,,業務委託,,入社予定,,,,,
111,来月退職予定の契約社員を確認したいです。,,,契約社員,,退職予定,,,,,
112,営業推進部で退職予定の正社員はいますか？,"[""従業員500名環境"", ""Group A"", ""Group B"", ""営業部"", ""営業推進部""]",,正社員,営業推進部,退職予定,,,,,
113,木村という名前で退職予定のアルバイトは誰ですか？,,木村,アルバイト,,退職予定,,,,,
114,退職予定の役員一覧をください。,,,役員,,退職予定,,,,,
115,佐々木という使用人兼務役員で退職予定の方を確認したいです。,,佐々木,使用人兼務役員,,退職予定,,,,,
116,退職済のアルバイトを確認したいです。,,,アルバイト,,退職済,,,,,
117,総務部に以前在籍し、退職済の正社員を教えてください。,"[""総務部"", ""Group A"", ""Group B"", ""営業部"", ""Gao Blue""]",,正社員,総務部,退職済,,,,,
118,教育研修部で退職済のパート従業員を抽出してください。,"[""教育研修部"", ""Group A"", ""Group B"", ""営業部"", ""Gao Blue""]",,パート,教育研修部,退職済,,,,,
119,派遣社員で退職済の田村さんを確認してください。,,田村,派遣社員,,退職済,,,,,
120,在籍中または入社予定の従業員をすべて表示してください。,,,,,在籍中,,,,,
121,退職予定および退職済のスタッフを確認したいです。,,,,,退職予定,,,,,
122,嘱託社員で既に退職済または退職予定の従業員一覧をください。,,,嘱託社員,,退職予定,,,,,
123,退職済、退職予定、または入社予定の従業員は誰ですか？,,,,,退職済,,,,,
124,山田さん、佐藤さん、または田中さんで、正社員か契約社員として在籍中または退職予定の方を、営業部と経理部の中から探してください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""営業部"", ""営業部""]",山田 佐藤 田中,正社員,営業部,在籍中,,,,,
125,鈴木さんまたは佐々木さんで、嘱託社員と業務委託のどちらかに該当し、商品企画部またはサポート課に属し、退職予定か退職済の方を抽出してください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""商品企画部"", ""Gao Blue""]",鈴木 佐々木,嘱託社員,商品企画部,退職予定,,,,
126,佐藤さん、山本さん、それと伊藤さんで、使用人兼務役員・契約社員・派遣社員のいずれか、かつ情報システム課またはコールセンター部門に属し、全ての状態（在籍中、入社予定、退職予定、退職済）を対象に検索してください。,"[""従業員500名環境"", ""Group A"", ""情報システム課"", ""営業部"", ""Gao Blue""]",佐藤 山本 伊藤,使用人兼務役員,情報システム課,在籍中,,,,,
127,退職済、退職予定、または入社予定の従業員は誰ですか？,,,,,退職済,,,,,
128,退職済、退職予定、または入社予定の従業員は誰ですか？,,,,,退職済,,,,,
129,退職済、退職予定、または入社予定の従業員は誰ですか？,,,,,退職済,,,,,
130,請求対象の従業員をすべて教えてください。,,,,,,対象,,,,
131,プラン対象の従業員一覧を表示してください。,,,,,,対象,,,,
132,SmartHRで対象の従業員を確認したいです。,,,,,,対象,,,,
133,請求対象の従業員のみを抽出してください。,,,,,,対象,,,,
134,対象外の従業員をすべて教えてください。,,,,,,対象外,,,,
135,プラン対象外の従業員を抽出してください。,,,,,,対象外,,,,
136,対象扱いになっている従業員の情報を教えてください。,,,,,,対象,,,,
137,今月の課金対象となる従業員を確認したいです。,,,,,,対象,,,,
138,正社員で対象の従業員一覧をください。,,,正社員,,,対象,,,,
139,プラン対象外の従業員一覧をCSVで出力できますか？,,,,,,対象外,,,,
140,今のところ課金対象外に設定されている社員は誰ですか？,,,,,,対象外,,,,
141,Group Aに属している嘱託社員で、課金対象外の退職済従業員を教えてください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""総務部"", ""Gao Blue""]",,嘱託社員,Group A,退職済,対象外,,,,
142,佐藤という名前の従業員で、課金対象になっている人を調べてください。,,佐藤,,,,対象,,,,
143,派遣社員の中で、課金対象外かつ退職予定の従業員をすべて教えてください。,,,派遣社員,,退職予定,対象外,,,,
144,従業員番号12345の人が課金対象かどうかを確認してください。,,12345,,,,対象,,,,
145,請求対象の従業員を一覧で表示してください。,,,,,,対象,,,,
146,プラン対象の従業員だけを抽出してください。,,,,,,対象,,,,
147,プランに含まれる従業員を一覧で出してください。,,,,,,対象,,,,
148,契約プランの対象社員一覧を表示してください。,,,,,,対象,,,,
149,対象外となっている嘱託社員の一覧を表示してください。,,,嘱託社員,,,対象外,,,,
150,課金対象外の従業員で、IT部に所属している正社員を表示してください。,"[""IT部"", ""総務部"", ""Gao Blue""]",,正社員,IT部,,対象外,,,,
151,2025年4月1日から4月30日までに入社した社員の情報を確認したい,,,,,,,2025/04/01,2025/04/30,,
152,2025年3月10日から3月25日まで入社した社員一覧を見たい,,,,,,,2025/03/10,2025/03/25,,
153,2025年5月1日から5月31日までに入社した社員の詳細を教えてください,,,,,,,2025/05/01,2025/05/31,,
154,2025年6月5日から6月20日まで入社予定の社員をリストで表示してください,,,,,入社予定,,,,,
155,2023年7月15日から8月15日までに入社した社員の名前を知りたい,,,,,,,2023/07/15,2023/08/15,,
156,2025年1月1日から5月15日までに入社した社員の履歴を確認したい,,,,,,,2025/01/01,2025/05/15,,
157,1月から2月に入社した社員の情報を教えてください,,,,,,,2025/01/01,2025/02/28,,
158,2023年5月に入社した社員について教えてください,,,,,,,2023/05/01,2023/05/31,,
159,2022年に入社した社員リストを取得したい,,,,,,,2022/01/01,2022/12/31,,
160,昨年10月から11月に入社した社員を探しています,,,,,,,2024/10/01,2024/11/30,,
161,2023年3月1日から3月31日までに退職した社員のリストを確認したい,,,,,退職済,,,,2023/03/01,2023/03/31
162,2024年12月1日から12月31日までに退職した社員の詳細情報を教えてください,,,,,退職済,,,,2024/12/01,2024/12/31
163,2022年7月1日から8月31日までに退職した社員一覧を表示してください,,,,,退職済,,,,2022/07/01,2022/08/31
164,2021年10月1日から11月30日までに退職した社員を探しています,,,,,退職済,,,,2021/10/01,2021/11/30
165,2020年5月1日から5月31日までに退職した社員の情報が欲しい,,,,,退職済,,,,2020/05/01,2020/05/31
166,2024年1月1日から1月31日までに退職した社員のリストを見せてください,,,,,退職済,,,,2024/01/01,2024/01/31
167,2019年末に退職した社員を一覧で確認したい,,,,,退職済,,,,2019/12/01,2019/12/31
168,2023年4月に退職した社員の情報を取得したい,,,,,退職済,,,,2023/04/01,2023/04/30
169,2022年2月から3月に退職した社員を教えてください,,,,,退職済,,,,2022/02/01,2022/03/31
170,2020年8月に退職した社員の履歴を見たいです,,,,,退職済,,,,2020/08/01,2020/08/31
171,2025年2月1日から2月28日までにGao Blueに入社した社員の情報を知りたい,"[""従業員500名環境"",""Group A"",""Group B"",""AAA"",""Gao Blue""]",,,Gao Blue,,,2025/02/01,2025/02/28,,
172,2024年11月15日から12月15日までにGroup Aに入社した社員一覧を教えてください,"[""従業員500名環境"",""Group A"",""Group B"",""AAA"",""Gao Blue""]",,,Group A,,,2024/11/15,2024/12/15,,
173,2023年9月1日から9月30日までにGroup Bに入社した社員の名前を確認したい,"[""従業員500名環境"",""Group A"",""Group B"",""AAA"",""Gao Blue""]",,,Group B,,,2023/09/01,2023/09/30,,
174,2025年1月10日から1月25日までにAAAに入社した社員の履歴を見たい,"[""従業員500名環境"",""Group A"",""Group B"",""AAA"",""Gao Blue""]",,,AAA,,,2025/01/10,2025/01/25,,
175,2024年6月5日から6月20日までに従業員500名環境に入社した社員について教えてください,"[""従業員500名環境"",""Group A"",""Group B"",""AAA"",""Gao Blue""]",,,従業員500名環境,,,2024/06/05,2024/06/20,,
176,2023年4月10日から4月30日までにGao Blueを退職した社員の詳細を確認したい,"[""従業員500名環境"",""Group A"",""Group B"",""AAA"",""Gao Blue""]",,,Gao Blue,退職済,,,,2023/04/10,2023/04/30
177,2022年1月5日から1月25日までにGroup Aを退職した社員の一覧を表示してください,"[""従業員500名環境"",""Group A"",""Group B"",""AAA"",""Gao Blue""]",,,Group A,退職済,,,,2022/01/05,2022/01/25
178,2021年6月15日から6月30日までにGroup Bを退職した社員の情報を取得したい,"[""従業員500名環境"",""Group A"",""Group B"",""AAA"",""Gao Blue""]",,,Group B,退職済,,,,2021/06/15,2021/06/30
179,2020年9月1日から9月20日までにAAAを退職した社員について教えてください,"[""従業員500名環境"",""Group A"",""Group B"",""AAA"",""Gao Blue""]",,,AAA,退職済,,,,2020/09/01,2020/09/20
180,2024年3月10日から3月31日までに従業員500名環境を退職した社員の履歴を知りたい,"[""従業員500名環境"",""Group A"",""Group B"",""AAA"",""Gao Blue""]",,,従業員500名環境,退職済,,,,2024/03/10,2024/03/31
181,"こんにちは。2025年3月1日から3月15日までの間にGroup Alphaで正社員として入社し、現在も在籍中で課金対象の社員、山田太郎さんの詳細を教えてもらえますか 期間は2025年3月1日から3月15日までです。","[""Group Alpha"",""Tokyo HQ"",""Team Lion""]",山田太郎,正社員,Group Alpha,在籍中,対象,2025/03/01,2025/03/15,,
182,"お世話になります。2024年7月10日から7月20日の間にTeam Betaに契約社員として入社予定で、課金対象外の佐藤花子さんの情報を教えてください。よろしくお願いします。","[""Group Beta"",""Osaka Office"",""Team Beta""]",佐藤花子,契約社員,Team Beta,入社予定,対象外,,,,
183,"すみません、2023年11月1日から11月30日にTokyo HQでアルバイトとして入社し、現在も在籍中で課金対象外の鈴木次郎さんの名前を確認したいです。期間は11月1日から30日までです。","[""Group Gamma"",""Tokyo HQ"",""Team Gamma""]",鈴木次郎,アルバイト,Tokyo HQ,在籍中,対象外,2023/11/01,2023/11/30,,
184,"こんにちは。2025年4月5日から4月25日までにNagoya Officeで嘱託社員として入社し、現在も在籍中で課金対象の高橋美咲さんの履歴を見せていただけますか","[""Group Delta"",""Nagoya Office"",""Team Delta""]",高橋美咲,嘱託社員,Nagoya Office,在籍中,対象,2025/04/05,2025/04/25,,
185,"お手数ですが、2024年9月1日から9月10日までKyoto Branchに派遣社員として入社し、現在も在籍中で課金対象外の田中一郎さんについて教えてもらえますか","[""Group Epsilon"",""Kyoto Branch"",""Team Epsilon""]",田中一郎,派遣社員,Kyoto Branch,在籍中,対象外,2024/09/01,2024/09/10,,
186,"2023年5月10日から5月30日までにGroup Alphaを正社員として退職し、課金対象の伊藤由紀さんの詳細を知りたいです。退職期間は5月10日から30日までです。","[""Group Alpha"",""Tokyo HQ"",""Team Lion""]",伊藤由紀,正社員,Group Alpha,退職済,対象,,,2023/05/10,2023/05/30
187,"こんにちは。2022年8月1日から8月15日にTeam Betaを契約社員として退職し、課金対象外の加藤恵さんのリストを表示してください。よろしくお願いします。","[""Group Beta"",""Osaka Office"",""Team Beta""]",加藤恵,契約社員,Team Beta,退職済,対象外,,,2022/08/01,2022/08/15
188,"すみませんが、2021年12月10日から12月31日にTokyo HQを嘱託社員として退職し、課金対象の山本翔太さんの情報を教えてください。","[""Group Gamma"",""Tokyo HQ"",""Team Gamma""]",山本翔太,嘱託社員,Tokyo HQ,退職済,対象,,,2021/12/10,2021/12/31
189,"お疲れ様です。2020年10月5日から10月20日にNagoya Officeをパートとして退職し、課金対象外の小林沙織さんについて教えてください。","[""Group Delta"",""Nagoya Office"",""Team Delta""]",小林沙織,パート,Nagoya Office,退職済,対象外,,,2020/10/05,2020/10/20
190,"こんにちは。2024年2月1日から2月28日までKyoto Branchを役員として退職し、課金対象の斎藤健さんの履歴を知りたいです。どうぞよろしくお願いします。","[""Group Epsilon"",""Kyoto Branch"",""Team Epsilon""]",斎藤健,役員,Kyoto Branch,退職済,対象,,,2024/02/01,2024/02/28
