No,prompt,affiliations,department,occupation,employment_type,lastname,firstname,employee_number,employee_number_range,status,exclude
36,社員番号がA1から400の従業員を探してください。,,,,,,,,"[""A1"", ""400""]",,
37,池袋配属の社員の中で、IT部にいて在籍の人を教えてください。,"[""池袋""]","[""IT部""]",,,,,,,"[""在籍""]",
38,池袋配属の社員の中で、人事部にいて離職の人を教えてください。,"[""池袋""]","[""人事部""]",,,,,,,"[""離職""]",
39,IT部に在籍している離職の従業員をリストしてください。,,"[""IT部""]",,,,,,,"[""離職""]",
40,田町配属の社員の中で、広報部にいて離職の人を教えてください。,"[""田町""]","[""広報部""]",,,,,,,"[""離職""]",
41,現在人事部にいる退職済み者を検索したいです。,,"[""人事部""]",,,,,,,"[""退職済み""]",
42,退職済みかつインターンで、人事部所属のデザイナーの社員をリストアップしてください。,,"[""人事部""]","[""デザイナー""]","[""インターン""]",,,,,"[""退職済み""]",
43,池袋で働くパートタイムのエンジニアの人を表示してください。,"[""池袋""]",,"[""エンジニア""]","[""パートタイム""]",,,,,,
44,社員コードが200〜B2の従業員を見せてください。,,,,,,,,"[""200"", ""B2""]",,
45,勤務地が池袋のデザイナー職で、インターンの従業員を探しています。,"[""池袋""]",,"[""デザイナー""]","[""インターン""]",,,,,,
46,社員番号が100からB2の従業員を探してください。,,,,,,,,"[""100"", ""B2""]",,
47,広報部に在籍している退職済みの従業員をリストしてください。,,"[""広報部""]",,,,,,,"[""退職済み""]",
48,勤務地が池袋のデザイナー職で、パートタイムの従業員を探しています。,"[""池袋""]",,"[""デザイナー""]","[""パートタイム""]",,,,,,
49,勤務地が池袋のデザイナー職で、正社員の従業員を探しています。,"[""池袋""]",,"[""デザイナー""]","[""正社員""]",,,,,,
50,田町に所属する従業員を表示してください。,"[""田町""]",,,,,,,,,
51,田町かつ人事部に所属する従業員を表示してください。,"[""田町""]","[""人事部""]",,,,,,,,
52,営業の従業員を表示してください。,,,"[""営業""]",,,,,,,
53,在籍の従業員を除き、姓が田中の従業員を表示してください。,,,,,"[""田中""]",,,,"[""在籍""]","[""7""]"
54,田町の人事部に所属している営業の従業員で、正社員の契約をしている方を表示してください。,"[""田町""]","[""人事部""]","[""営業""]","[""正社員""]",,,,,,
55,田町の人事部に所属し、職種が営業で契約種別が正社員かつ在籍状況が在籍の従業員を検索してください。,"[""田町""]","[""人事部""]","[""営業""]","[""正社員""]",,,,,"[""在籍""]",
56,A1からA2の間に在籍の従業員を探してください。,,,,,,,,"[""A1"",""A2""]","[""在籍""]",
57,A1の従業員を表示してください。,,,,,,,"[""A1""]",,,
58,田町の事業所で、A1からA2までの従業員を検索してください。,"[""田町""]",,,,,,,"[""A1"",""A2""]",,
59,人事部または広報部に所属している在籍の正社員の従業員を検索してください。,,"[""人事部"",""広報部""]",,"[""正社員""]",,,,,"[""在籍""]",
60,退職済みの従業員を除き、姓が佐藤の従業員を表示してください。,,,,,"[""佐藤""]",,,,"[""退職済み""]","[""7""]"
61,在籍の従業員を除き、姓が境の従業員を表示してください。,,,,,"[""境""]",,,,"[""在籍""]","[""7""]"
62,田町。,"[""田町""]",,,,,,,,,
63,上田。,,,,,"[""上田""]",,,,,
64,和也。,,,,,,"[""和也""]",,,,
65,翼。,,,,,,"[""翼""]",,,,
66,井上。,,,,,"[""井上""]",,,,,
67,N001。,,,,,,,"[""N001""]",,,
68,佐藤 健太。,,,,,"[""佐藤""]","[""健太""]",,,,
69,小林 一郎。,,,,,"[""小林""]","[""一郎""]",,,,
70,渡辺さんという社員の社員番号はM9です。,,,,,"[""渡辺""]",,"[""M9""]",,,
71,名前が大輔で、社員番号がN1001からN1009の間の社員を探しています。,,,,,,"[""大輔""]",,"[""N1001"", ""N1009""]",,
72,現在勤務中で、フルタイムの形態で働いている従業員を探してください。,,,,"[""正社員""]",,,,,"[""在籍""]",
73,以下の人物についての勤務状況を確認してください：佐藤太郎、鈴木花子、高橋一郎、田中美咲、伊藤健太、渡辺優子、山本翔、中村真由美、小林直樹、加藤愛、吉田大輔、山田さくら、佐々木誠、斉藤奈々、松本悠。,,,,,"[""佐藤"", ""鈴木"", ""高橋"", ""田中"", ""伊藤"", ""渡辺"", ""山本"", ""中村"", ""小林"", ""加藤"", ""吉田"", ""山田"", ""佐々木"", ""斉藤"", ""松本""]","[""太郎"", ""花子"", ""一郎"", ""美咲"", ""健太"", ""優子"", ""翔"", ""真由美"", ""直樹"", ""愛"", ""大輔"", ""さくら"", ""誠"", ""奈々"", ""悠""]",,,,
74,田中太郎A12345。,,,,,"[""田中""]","[""太郎""]","[""A12345""]",,,
75,太郎 田中 社員番号: 55789,,,,,"[""田中""]","[""太郎""]","[""55789""]",,,
76,佐藤です。番号は0099です。,,,,,"[""佐藤""]",,"[""0099""]",,,
77,あ、えっと僕？タカハシ。番号、たしか8832だったかな。,,,,,"[""タカハシ""]",,"[""8832""]",,,
78,社員山田太郎の社員番号はIN010 です。,,,,,"[""山田""]","[""太郎""]","[""IN010""]",,,
79,社員番号が OF10040 以下の社員、佐藤健 または 木村花 を探してください。,,,,,"[""佐藤"", ""木村""]","[""健"", ""花""]",,"[""-1"", ""OF10040""]",,
80,指定なし。,,,,"[""指定なし""]",,,,,"[""指定なし""]",
  
